year,week,player,brier,pick_acc,conf_rank_corr,conf_mae
2024,3,MDTwinTeam,0.277182465,0.5625,0.8382352941176471,1.75
2024,3,GOOD,0.14517325168185763,0.6875,0.27058823529411763,4.125
2024,3,Bucky Swirving,0.10795494360243055,0.875,0.8676470588235294,1.75
2024,3,Weird,0.13376069874511717,0.875,0.7323529411764707,2.375
2024,3,ShowMeYourTDs,0.07360223712327779,0.9375,0.5352941176470588,3.375
2024,3,Fishy Picks,0.08472756256076389,0.875,0.6676470588235294,2.5
2024,3,OneNDone,0.11136095614963108,0.8125,0.5529411764705882,3.375
2024,3,Rent’s Due Again,0.24357820160505506,0.5625,0.9352941176470588,1.0
2024,3,Mickey's Team,0.09817443033968917,0.875,0.6058823529411764,3.125
2024,3,Knoll34,0.10734038624511719,0.8125,0.8411764705882352,2.0
2024,3,John K,0.22488267815555557,0.625,0.8323529411764706,2.25
2024,3,Johnsonmaia06,0.1539857406333704,0.75,0.5352941176470588,3.625
2024,3,Tone 3132,0.18426084466525608,0.6875,0.42352941176470593,4.375
2024,3,Boldz36,0.1279140963010204,0.8125,0.8264705882352942,2.125
2024,3,Hennything Possible,0.07558061822709686,0.9375,0.8617647058823529,2.125
2024,3,Arcedinero,0.08720921151909722,0.875,0.4617647058823529,3.25
2024,3,FastEddie,0.1506399267650973,0.75,0.8705882352941177,1.875
2024,3,Piru’s Picks,0.17137624576171873,0.75,0.8735294117647058,1.875
2024,3,Jason B,0.08157950168185764,0.9375,0.8323529411764706,2.125
2024,3,NFL in PINK,0.14507476124511717,0.6875,0.6882352941176471,3.0
2024,3,Lenzen,0.12579684032556876,0.75,0.8088235294117646,2.25
2024,3,Balz Deep,0.08679591824435764,0.9375,0.823529411764706,2.125
2024,3,BigShroomSecurity,0.16316598800347348,0.625,0.7441176470588236,2.25
2024,3,Ballbusters,0.1277000591808398,0.8125,0.6911764705882353,2.875
2024,3,Victorious Bastard,0.08137701102475417,0.9375,0.8705882352941177,2.0
2024,3,Omar,0.09668156397165667,0.875,0.6735294117647058,2.375
